Outlet Code,M_Label
71000106,1
71000650,1
71000680,1
71000764,1
71000829,1
71000909,1
71000928,1
71000952,1
71001196,1
71001214,1
71001464,1
71001465,1
71001592,1
71001668,1
71001669,1
71001746,1
71001861,1
71001876,1
71001880,1
71001989,1
71001999,1
71002000,1
71002003,1
71002047,1
71002053,1
71002094,1
71002124,1
71002143,1
71002188,1
71002208,1
71002220,1
71002252,1
71002299,1
71002359,1
71002407,1
71002449,1
71002504,1
71002660,1
71002704,1
71002735,1
71003043,1
71003065,1
71003145,1
71003925,1
71003946,1
71003949,1
71004105,1
71004114,1
71004119,1
71004121,1
71004123,1
71004124,1
71004152,1
71004153,1
71004159,1
71004180,1
71004203,1
71004204,1
71004220,1
71004222,1
71004233,1
71004261,1
71004264,1
71004266,1
71004272,1
71004289,1
71004313,1
71004339,1
71004341,1
71004358,1
71004361,1
71004378,1
71004390,1
71004402,1
71004477,1
71004510,1
71004541,1
71004554,1
71004562,1
71004564,1
71004617,1
71004672,1
71004695,1
71004717,1
71004801,1
71004805,1
71004831,1
71004834,1
71004848,1
71004854,1
71004870,1
71004886,1
71004890,1
71004906,1
71004919,1
71004922,1
71004943,1
71004950,1
71004959,1
71004961,1
71004964,1
71005022,1
71005025,1
71005032,1
71005053,1
71005060,1
71005126,1
71005127,1
71005132,1
71005138,1
71005158,1
71005172,1
71005235,1
71005280,1
71005321,1
71005344,1
71005346,1
71005367,1
71005369,1
71005370,1
71005371,1
71005375,1
71005412,1
71005669,1
71005814,1
71005817,1
71005824,1
71005836,1
71005946,1
71005985,1
71005994,1
71006088,1
71006337,1
71006340,1
71006341,1
71006345,1
71006361,1
71006540,1
71006568,1
71006614,1
71006615,1
71006719,1
71006742,1
71006751,1
71006752,1
71006927,1
71006941,1
71006952,1
71006955,1
71007017,1
71007029,1
71007030,1
71007084,1
71007132,1
71007201,1
71007208,1
71007220,1
71007222,1
71007258,1
71007302,1
71007340,1
71007390,1
71007395,1
71007412,1
71007466,1
71007485,1
71007539,1
71007550,1
71007560,1
71007561,1
71007562,1
71007740,1
71007755,1
71007759,1
71007800,1
71007828,1
71007829,1
71007843,1
71007870,1
71007929,1
71007932,1
71007963,1
71008081,1
71008304,1
71008601,1
71008714,1
71008947,1
71009025,1
71009138,1
71009200,1
71009264,1
71009678,1
71009937,1
71010054,1
71010055,1
71010365,1
71010378,1
71010379,1
71010818,1
71010893,1
71010924,1
71011034,1
71011061,1
71011328,1
71011331,1
71011548,1
71011638,1
71011658,1
71011818,1
71012085,1
71012087,1
71012127,1
71012838,1
71012859,1
71012866,1
71013229,1
71013353,1
71013380,1
71013467,1
71013596,1
71013655,1
71013675,1
71013688,1
71013695,1
71013883,1
71013963,1
71014144,1
71014199,1
71014214,1
71014289,1
71014339,1
71014348,1
71014353,1
71014580,1
71015705,1
71015772,1
71015815,1
71015833,1
71016071,1
71016118,1
71016121,1
71016203,1
71016205,1
71016352,1
71016474,1
71016475,1
71016555,1
71016596,1
71016807,1
71016852,1
71016854,1
71016984,1
71017097,1
71017176,1
71017560,1
71017570,1
71017574,1
71017599,1
71017636,1
71017743,1
71017815,1
71017992,1
71018057,1
71018224,1
71018414,1
71018416,1
71018440,1
71018640,1
71018742,1
71018778,1
71018974,1
71019042,1
71019339,1
71019383,1
71019451,1
71019629,1
71019693,1
71019792,1
71019794,1
71019927,1
71019938,1
71020207,1
71020357,1
71020400,1
71020409,1
71020412,1
71020570,1
71020604,1
71020615,1
71020727,1
71020768,1
71020925,1
71315587,1
71315591,1
71315615,1
71315623,1
71315700,1
71315843,1
71315978,1
71316176,1
71316250,1
71316310,1
71316312,1
71316347,1
71316435,1
71316490,1
71316511,1
71316520,1
71316529,1
71316599,1
71316635,1
71316689,1
71316703,1
71316708,1
71316760,1
71316928,1
71316941,1
71316954,1
71316974,1
71317004,1
71317021,1
71317085,1
71317154,1
71317180,1
71317190,1
71317284,1
71317285,1
71317289,1
71317380,1
71317398,1
71317420,1
71317430,1
71317451,1
71317888,1
71317900,1
71317902,1
71317977,1
71318059,1
71318108,1
71318127,1
71318305,1
71318322,1
71318361,1
71318409,1
71318414,1
71318550,1
71318775,1
71318837,1
71318859,1
71318873,1
71318881,1
71415782,1
71415785,1
71416090,1
71416114,1
71416149,1
71416156,1
71416175,1
71416185,1
71416196,1
71416200,1
71416223,1
71416261,1
71416267,1
71416295,1
71416329,1
71416519,1
71416565,1
71416584,1
71416795,1
71416922,1
71416990,1
71417274,1
71417688,1
71417708,1
71417735,1
71417770,1
71417836,1
71417839,1
71417891,1
71417894,1
71417898,1
71417914,1
71417976,1
71418019,1
71418082,1
71418099,1
72000114,1
72000120,1
72000139,1
72000148,1
72000169,1
72000173,1
72000227,1
72000244,1
72000257,1
72000260,1
72000270,1
72000288,1
72000345,1
72000360,1
72000366,1
72000371,1
72000373,1
72000385,1
72000391,1
72000400,1
72000440,1
72000452,1
72000470,1
72000479,1
72000501,1
72000504,1
72000505,1
72000516,1
72000523,1
72000535,1
72000546,1
72000547,1
72000555,1
72000672,1
72000695,1
72000742,1
72000743,1
72000778,1
72000792,1
72000847,1
72000852,1
72000955,1
72000996,1
72000997,1
72001028,1
72001062,1
72001068,1
72001093,1
72001094,1
72001100,1
72001153,1
72001155,1
72001193,1
72001194,1
72001218,1
72001379,1
72001380,1
72001404,1
72001419,1
72001439,1
72001467,1
72001485,1
72001510,1
72001556,1
72001580,1
72001686,1
72001752,1
72001893,1
72001894,1
72001898,1
72001912,1
72001916,1
72001962,1
72002084,1
72002142,1
72002175,1
72002193,1
72002194,1
72002200,1
72002264,1
72002275,1
72002277,1
72002278,1
72002288,1
72002391,1
72002410,1
72002411,1
72002412,1
72002438,1
72002478,1
72002592,1
72002610,1
72002616,1
72002623,1
72002641,1
72002684,1
73000169,1
73000171,1
73000253,1
73000277,1
73000367,1
73000397,1
73000441,1
73000486,1
73000579,1
73000591,1
73000593,1
73000606,1
73000608,1
73000677,1
73000764,1
73000803,1
73000806,1
73000824,1
73000825,1
73000936,1
73000942,1
73000944,1
73000948,1
73000982,1
73000993,1
73001015,1
73001027,1
73001099,1
73001110,1
73001130,1
73001138,1
73001139,1
73001177,1
73001206,1
73001248,1
73001264,1
73001423,1
73001439,1
73001444,1
73001450,1
73001463,1
73001538,1
73001551,1
73001563,1
73001566,1
73001581,1
73001611,1
73001617,1
73001623,1
73001657,1
73001659,1
73001663,1
73001682,1
73001707,1
73001731,1
73001747,1
73001782,1
73001809,1
73002015,1
73002032,1
73002061,1
73002070,1
