,Outlet Code,F_2022,M_2022,R_2022,F_2023,M_2023,R_2023,F_2024,M_2024,R_2024,F,M,R,F_Label,M_Label,R_Label
0,71000106,26.0,105537.5,909.0,28.0,60843.450000000004,516.0,29.0,17479.2,166.0,2.0,-65711.27500000001,-546.5,0,1,1
1,71000426,47.0,295874.7,910.0,21.0,102987.23999999999,530.0,14.0,38988.79,173.0,-20.0,-160442.18,-547.0,1,1,1
2,71000432,135.0,925575.48,910.0,19.0,281925.53,489.0,6.0,59320.310000000005,173.0,-71.0,-544430.195,-526.5,1,1,1
3,71000650,17.0,62912.0,902.0,14.0,14777.56,522.0,1.0,0.0,94.0,-14.5,-38844.78,-618.0,1,1,1
4,71000680,42.0,349918.56,909.0,43.0,465475.3799999997,474.0,7.0,2112.4,166.0,-35.5,-405584.56999999983,-525.5,1,1,1
5,71000764,8.0,276353.1,839.0,2.0,2666.0,335.0,1.0,0.0,153.0,-4.0,-139509.55,-434.0,1,1,1
6,71000829,8.0,214880.0,892.0,1.0,3349.98,234.0,4.0,10722.08,167.0,-0.5,-98392.91,-396.0,1,1,1
7,71000909,16.0,62844.81,910.0,5.0,5386.71,495.0,4.0,680.82,129.0,-6.5,-33434.94,-573.5,1,1,1
8,71000928,8.0,4499.7,899.0,5.0,3204.77,423.0,5.0,1318.87,180.0,-1.5,-2533.365,-481.0,1,1,1
9,71000952,3.0,56219.32,769.0,6.0,12003.619999999999,487.0,10.0,4088.25,179.0,5.5,-30023.22,-449.0,0,1,1
10,71001196,7.0,27345.52,891.0,2.0,3001.8599999999997,206.0,3.0,1634.75,105.0,-1.5,-13538.94,-443.5,1,1,1
11,71001214,50.0,148902.35,910.0,37.0,79007.82,536.0,5.0,488.0,166.0,-38.5,-113467.085,-557.0,1,1,1
12,71001464,1.0,5420.0,811.0,3.0,3819.8599999999997,229.0,7.0,280.0,167.0,5.0,-4339.93,-353.0,0,1,1
13,71001465,12.0,12858.67,885.0,10.0,13302.55,536.0,10.0,1651.6000000000001,167.0,-1.0,-11429.01,-543.5,1,1,1
14,71001592,16.0,73157.0,889.0,22.0,38592.39,500.0,4.0,-48.0,173.0,-15.0,-55922.695,-521.5,1,1,1
15,71001668,27.0,49872.770000000004,902.0,14.0,24665.02,510.0,11.0,13329.900000000001,166.0,-9.5,-23938.995000000003,-540.0,1,1,1
16,71001669,43.0,64715.3,896.0,37.0,36098.3,528.0,15.0,10263.990000000002,166.0,-25.0,-40142.81,-546.0,1,1,1
17,71001746,23.0,48477.2,873.0,13.0,26127.579999999998,530.0,6.0,1104.0,105.0,-12.0,-36198.39,-596.5,1,1,1
18,71001861,7.0,12696.0,745.0,13.0,21411.72,473.0,1.0,0.0,173.0,-9.0,-17053.86,-436.0,1,1,1
19,71001874,17.0,47045.46,755.0,10.0,57567.51,464.0,52.0,55046.659999999996,178.0,38.5,2740.1749999999956,-431.5,0,0,1
20,71001876,1.0,1380.0,716.0,2.0,1714.9899999999998,205.0,2.0,0.0,95.0,0.5,-1547.495,-365.5,0,1,1
21,71001880,11.0,14671.92,772.0,16.0,18253.52,538.0,52.0,20810.400000000005,164.0,38.5,4347.680000000004,-491.0,0,0,1
22,71001933,24.0,152863.48,909.0,36.0,187677.56999999998,490.0,55.0,97503.51000000001,181.0,25.0,-72767.01499999998,-518.5,0,1,1
23,71001989,6.0,8399.69,814.0,6.0,6343.43,517.0,1.0,530.75,40.0,-5.0,-6840.81,-625.5,1,1,1
24,71001999,5.0,2251.3199999999997,790.0,15.0,18556.82,490.0,2.0,0.0,105.0,-8.0,-10404.07,-535.0,1,1,1
25,71002000,5.0,6210.0,698.0,9.0,7220.67,494.0,1.0,265.37,103.0,-6.0,-6449.965,-493.0,1,1,1
26,71002003,6.0,16255.8,894.0,8.0,6835.870000000001,425.0,2.0,-16.0,166.0,-5.0,-11561.835,-493.5,1,1,1
27,71002047,5.0,5838.8,896.0,4.0,4137.57,500.0,3.0,796.11,80.0,-1.5,-4192.075,-618.0,1,1,1
28,71002053,14.0,82803.8,896.0,4.0,2763.05,335.0,15.0,0.0,151.0,6.0,-42783.425,-464.5,0,1,1
29,71002094,26.0,64361.24,912.0,16.0,20510.100000000002,490.0,2.0,283.15,167.0,-19.0,-42152.52,-534.0,1,1,1
30,71002124,23.0,80325.8,906.0,20.0,38032.89,546.0,1.0,0.0,137.0,-20.5,-59179.345,-589.0,1,1,1
31,71002143,13.0,21682.22,903.0,14.0,20082.37,480.0,13.0,10154.24,167.0,-0.5,-10728.054999999998,-524.5,1,1,1
32,71002188,12.0,29023.82,912.0,15.0,22352.0,504.0,7.0,-24.0,167.0,-6.5,-25711.91,-541.0,1,1,1
33,71002208,11.0,10155.3,872.0,10.0,3604.48,545.0,6.0,1407.6100000000001,137.0,-4.5,-5472.279999999999,-571.5,1,1,1
34,71002220,9.0,19697.32,859.0,12.0,21053.11,473.0,19.0,3737.8,168.0,8.5,-16637.415,-498.0,0,1,1
35,71002252,4.0,3212.0,866.0,16.0,20289.260000000002,494.0,3.0,-16.0,173.0,-7.0,-11766.630000000001,-507.0,1,1,1
36,71002299,7.0,1895.5,879.0,3.0,1814.37,542.0,1.0,29.6,33.0,-4.0,-1825.335,-677.5,1,1,1
37,71002359,8.0,8604.630000000001,875.0,2.0,2054.32,539.0,1.0,265.37,34.0,-4.0,-5064.1050000000005,-673.0,1,1,1
38,71002407,48.0,36534.56,901.0,34.0,23247.010000000002,541.0,1.0,-11.2,166.0,-40.0,-29901.985,-555.0,1,1,1
39,71002449,1.0,2710.0,884.0,3.0,4176.37,326.0,1.0,413.37,103.0,-1.0,-3029.815,-502.0,1,1,1
40,71002504,5.0,5096.6,612.0,8.0,13126.650000000001,535.0,1.0,1480.0,105.0,-5.5,-7631.625,-468.5,1,1,1
41,71002660,12.0,8868.89,908.0,17.0,27224.41,534.0,5.0,1064.0,167.0,-9.5,-16982.65,-554.0,1,1,1
42,71002704,1.0,5420.0,900.0,6.0,15925.130000000001,429.0,5.0,-56.0,167.0,1.5,-10728.565,-497.5,0,1,1
43,71002735,19.0,16938.81,908.0,36.0,92204.03,542.0,37.0,18768.95,179.0,9.5,-35802.47,-546.0,0,1,1
44,71003043,2.0,1856.96,885.0,4.0,4933.6900000000005,545.0,2.0,552.0,150.0,-1.0,-2843.3250000000003,-565.0,1,1,1
45,71003065,7.0,63349.32,908.0,2.0,1599.6000000000001,334.0,2.0,1361.65,111.0,-2.5,-31112.809999999998,-510.0,1,1,1
46,71003145,1.0,426.55,795.0,2.0,4206.24,466.0,5.0,4309.74,110.0,3.5,1993.3449999999998,-520.5,0,0,1
47,71003569,10.0,6176.6900000000005,875.0,21.0,76803.06999999999,479.0,23.0,25085.85,180.0,7.5,-16404.03,-497.0,0,1,1
48,71003743,2.0,10840.0,895.0,4.0,27242.4,227.0,4.0,26377.4,167.0,1.0,7336.200000000001,-394.0,0,0,1
49,71003925,25.0,12639.46,908.0,32.0,29767.7,546.0,20.0,6269.37,180.0,-8.5,-14934.210000000003,-547.0,1,1,1
50,71003946,15.0,30699.09,911.0,10.0,15026.41,501.0,28.0,2148.0,167.0,15.5,-20714.75,-539.0,0,1,1
51,71003949,9.0,5928.5,882.0,9.0,7449.6900000000005,501.0,6.0,2757.5,149.0,-3.0,-3931.5950000000003,-542.5,1,1,1
52,71004105,39.0,56590.270000000004,909.0,14.0,35295.48,513.0,23.0,10345.9,167.0,-3.5,-35596.975,-544.0,1,1,1
53,71004114,9.0,7360.06,907.0,3.0,2132.71,472.0,12.0,551.9999999999999,171.0,6.0,-4194.385,-518.5,0,1,1
54,71004119,5.0,1450.06,899.0,19.0,14458.49,531.0,13.0,494.28999999999996,167.0,1.0,-7459.985,-548.0,0,1,1
55,71004121,9.0,5261.37,908.0,13.0,14127.27,542.0,13.0,7.200000000000024,172.0,2.0,-9687.119999999999,-553.0,0,1,1
56,71004123,13.0,11018.52,907.0,17.0,26977.63,524.0,34.0,10911.5,167.0,19.0,-8086.575000000001,-548.5,0,1,1
57,71004124,3.0,3136.55,907.0,18.0,31891.980000000003,541.0,9.0,-6.399999999999977,167.0,-1.5,-17520.665000000005,-557.0,1,1,1
58,71004152,14.0,36010.51,901.0,9.0,14317.36,524.0,13.0,670.0000000000001,181.0,1.5,-24493.935,-531.5,0,1,1
59,71004153,25.0,14187.85,910.0,13.0,12300.32,541.0,23.0,5228.8,171.0,4.0,-8015.284999999999,-554.5,0,1,1
60,71004159,3.0,1104.0,721.0,1.0,265.38,201.0,1.0,265.37,40.0,-1.0,-419.32000000000005,-421.0,1,1,1
